[2026-06-10T22:19:49.259Z] GET https://design.bhd.om/ → 200 (229ms, 27019B)
[2026-06-10T22:19:49.492Z] GET https://design.bhd.om/tokens.css → 200 (17ms, 6100B)
[2026-06-10T22:19:49.492Z] GET https://design.bhd.om/rtl.css → pending (?ms, ?B)
[2026-06-10T22:19:49.492Z] GET https://design.bhd.om/skeleton.css → 200 (17ms, 2645B)
[2026-06-10T22:19:49.492Z] GET https://design.bhd.om/cmdk.css → 200 (17ms, 2875B)
[2026-06-10T22:19:49.492Z] GET https://design.bhd.om/currency.css → 200 (17ms, 2527B)
[2026-06-10T22:19:49.492Z] GET https://design.bhd.om/currency.js → pending (?ms, ?B)
[2026-06-10T22:19:49.492Z] GET https://fonts.bhd.om/css2?family=IBM+Plex+Sans+Arabic:wght@400;500;600;700&display=swap → pending (?ms, ?B)
[2026-06-10T22:19:49.492Z] GET https://design.bhd.om/dark-mode.js → 200 (17ms, 2543B)
[2026-06-10T22:19:49.492Z] GET https://design.bhd.om/cmdk.js → 200 (18ms, 5382B)
[2026-06-10T22:19:49.492Z] GET https://static.cloudflareinsights.com/beacon.min.js/v833ccba57c9e4d2798f2e76cebdd09a11778172276447 → pending (?ms, ?B)
[2026-06-10T22:19:51.482Z] GET https://fonts.bhd.om/IBMPlexSansArabic/IBMPlexSansArabic-Regular.woff2 → 200 (77ms, 67728B)
[2026-06-10T22:19:51.483Z] GET https://fonts.bhd.om/IBMPlexSansArabic/IBMPlexSansArabic-SemiBold.woff2 → 200 (79ms, 74208B)
[2026-06-10T22:19:51.483Z] GET https://fonts.bhd.om/IBMPlexSansArabic/IBMPlexSansArabic-Medium.woff2 → 200 (79ms, 73720B)
[2026-06-10T22:19:51.483Z] GET https://fonts.bhd.om/IBMPlexSansArabic/IBMPlexSansArabic-Bold.woff2 → 200 (78ms, 69428B)
[2026-06-10T22:19:51.564Z] POST https://design.bhd.om/cdn-cgi/rum? → 204 (28ms, ?B)
[2026-08-14T10:37:23.421Z] GET http://127.0.0.1:4173/icons.html → 200 (5ms, ?B)
[2026-08-14T10:37:23.443Z] GET http://127.0.0.1:4173/dark-mode.js → 200 (?ms, -193B)
[2026-08-14T10:37:23.443Z] GET http://127.0.0.1:4173/tokens.css → 200 (?ms, -186B)
[2026-08-14T10:37:23.444Z] GET https://fonts.bhd.om/css2?family=IBM+Plex+Sans+Arabic:wght@400;500;600;700&display=swap → 200 (?ms, -737B)
[2026-08-14T10:37:23.444Z] GET http://127.0.0.1:4173/icons.css → 304 (?ms, ?B)
[2026-08-14T10:37:23.444Z] GET http://127.0.0.1:4173/icons.js → 200 (?ms, 9616B)
[2026-08-14T10:37:23.447Z] GET https://fonts.bhd.om/IBMPlexSansArabic/IBMPlexSansArabic-Regular.woff2 → 200 (?ms, -846B)
[2026-08-14T10:37:23.447Z] GET https://fonts.bhd.om/IBMPlexSansArabic/IBMPlexSansArabic-Medium.woff2 → 200 (?ms, -856B)
[2026-08-14T10:37:23.447Z] GET https://fonts.bhd.om/IBMPlexSansArabic/IBMPlexSansArabic-SemiBold.woff2 → 200 (?ms, -846B)
[2026-08-14T10:37:23.448Z] GET https://fonts.bhd.om/IBMPlexSansArabic/IBMPlexSansArabic-Bold.woff2 → 200 (?ms, -850B)
[2026-08-14T10:37:23.451Z] GET http://127.0.0.1:4173/icons/data/catalog.json → 200 (3ms, ?B)
[2026-08-14T10:37:23.451Z] GET http://127.0.0.1:4173/icons/data/drawn-catalog.json → 200 (3ms, 24068238B)
[2026-08-14T10:37:23.576Z] GET http://127.0.0.1:4173/icons/sets/drawn/42/3d-printer.svg → 200 (6ms, ?B)
[2026-08-14T10:37:23.576Z] GET http://127.0.0.1:4173/icons/sets/drawn/1e/a-arrow-down.svg → 200 (6ms, ?B)
[2026-08-14T10:37:23.576Z] GET http://127.0.0.1:4173/icons/sets/drawn/4e/a-arrow-up.svg → 200 (7ms, ?B)
[2026-08-14T10:37:23.576Z] GET http://127.0.0.1:4173/icons/sets/drawn/f0/a-large-small.svg → 200 (6ms, ?B)
[2026-08-14T10:37:23.576Z] GET http://127.0.0.1:4173/icons/sets/drawn/3d/a-large-small-2.svg → 200 (9ms, ?B)
[2026-08-14T10:37:23.576Z] GET http://127.0.0.1:4173/icons/sets/drawn/9f/abacus-rod.svg → 200 (7ms, ?B)
[2026-08-14T10:37:23.576Z] GET http://127.0.0.1:4173/icons/sets/drawn/da/abacus-rod-2.svg → 200 (11ms, ?B)
[2026-08-14T10:37:23.576Z] GET http://127.0.0.1:4173/icons/sets/drawn/9f/abacus-toy.svg → 200 (11ms, ?B)
